common,scientific,characteristic,notes,conservation,extant,hall
Platypus,Ornithorhynchus anatinus,3 MIDDLE EAR BONES,"TRICODONTRIA, MARSUPIALS, MONOTREMES: 200 mya",NT,TRUE,MAMMALS AND THEIR EXTINCT RELATIVES
Koala,Phascolarctos cinereus,3 MIDDLE EAR BONES,"TRICODONTRIA, MARSUPIALS, MONOTREMES: 200 mya",VU,TRUE,MAMMALS AND THEIR EXTINCT RELATIVES
Tamandua,Tamandua,PLACENTA,"EDENTATES, aka SLOTHS, ARMADILLOS, and ANTEATERS: 65 mya",LC,TRUE,MAMMALS AND THEIR EXTINCT RELATIVES
Civet,Civettictis civetta, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,MAMMALS AND THEIR EXTINCT RELATIVES
Red fox,Vulpes vulpes, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,MAMMALS OF NY STATE
Walrus,Odobenus rosmarus, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",VU,TRUE,HALL OF OCEAN LIFE
Raccoon,Procyon lotor, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,MAMMALS OF NY STATE
Rat,Rattus, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,MAMMALS AND THEIR EXTINCT RELATIVES
Squirrel,Sciuridae, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,MAMMALS AND THEIR EXTINCT RELATIVES
Mole,Talpa europaea,HOOVES,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,MAMMALS AND THEIR EXTINCT RELATIVES
Giant Eland,Taurotragus derbianus,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,MAMMALS AND THEIR EXTINCT RELATIVES
Opossum,Didelphimorphia,3 MIDDLE EAR BONES,"TRICODONTRIA, MARSUPIALS, MONOTREMES: 200 mya",LC,TRUE,N AMERICAN MAMMALS
Nine-banded armadillo,Dasypus novemcinctus,PLACENTA ,"EDENTATES, aka SLOTHS, ARMADILLOS, and ANTEATERS: 65 mya",LC,TRUE,N AMERICAN MAMMALS
Black Bear,Ursus americanus, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,N AMERICAN MAMMALS
Grizzly Bear,Ursus arctos, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,N AMERICAN MAMMALS
Gray Fox,Urocyon cinereoargenteus, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,N AMERICAN MAMMALS
Raccoon,Procyon lotor, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,MAMMALS OF NY STATE
Canada Lynx,Lynx canadensis, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,N AMERICAN MAMMALS
Jaguar,Panthera onca, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",NT,TRUE,N AMERICAN MAMMALS
Ringtail (cacomistle),Bassariscus astutus, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,N AMERICAN MAMMALS
Spotted Skunk,Spilogale, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,N AMERICAN MAMMALS
Striped Skunk,Mephitis mephitis, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,N AMERICAN MAMMALS
American mink,Neovison vison, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,N AMERICAN MAMMALS
American Badger,Taxidea taxus, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,N AMERICAN MAMMALS
Wolverine, Gulo gulo, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,N AMERICAN MAMMALS
Ermine,Mustela erminea, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,N AMERICAN MAMMALS
American Marten,Martes americana, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,N AMERICAN MAMMALS
River Otter,Lontra canadensis, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,N AMERICAN MAMMALS
Black-footed ferret,Mustela nigripes, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",EN,TRUE,N AMERICAN MAMMALS
Cougar (Mountain Lion),Puma concolor, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,N AMERICAN MAMMALS
Wolf,Canis lupus, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,N AMERICAN MAMMALS
Alaska Brown Bear,Ursus arctos horribilis, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,N AMERICAN MAMMALS
Coyote,Canis latrans, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,MAMMALS OF NY STATE
North American Beaver,Castor canadensis, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,N AMERICAN MAMMALS
Porcupine,Erethizon dorsatum, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,MAMMALS OF NY STATE
Western Grey Squirrel,Sciurus griseus, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,N AMERICAN MAMMALS
Snowshoe Hare,Lepus americanus, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,N AMERICAN MAMMALS
Mountain Beaver,Aplodontia rufa, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,N AMERICAN MAMMALS
Eastern Cottontail,Sylvilagus floridanus, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,N AMERICAN MAMMALS
Black-tailed Jackrabbit,Lepus californicus, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,N AMERICAN MAMMALS
Antelope Jackrabbit,Lepus alleni, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,N AMERICAN MAMMALS
Abert's Squirrel,Sciurus aberti, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,N AMERICAN MAMMALS
Vole,Microtus, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,N AMERICAN MAMMALS
Northern Flying Squirrel,Glaucomys sabrinus, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,N AMERICAN MAMMALS
Groundhog,Marmota monax, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,N AMERICAN MAMMALS
American Bison,Bison bison,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",NT,TRUE,N AMERICAN MAMMALS
Pronghorn,Antilocapra americana,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,N AMERICAN MAMMALS
Dall Sheep,Ovis dalli,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,N AMERICAN MAMMALS
Bighorn Sheep,Ovis canadensis,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,N AMERICAN MAMMALS
Caribou,Rangifer tarandus,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",VU,TRUE,N AMERICAN MAMMALS
Mountain Goat,Oreamnos americanus,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,N AMERICAN MAMMALS
Musk Ox,Ovibos moschatus,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,N AMERICAN MAMMALS
Wapiti,Cervus canadensis,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,N AMERICAN MAMMALS
White-tailed Deer,Odocoileus virginianus,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,N AMERICAN MAMMALS
Mule Deer,Odocoileus hemionus,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,N AMERICAN MAMMALS
Collared Peccary,Pecari tajacu,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,N AMERICAN MAMMALS
Moose,Alces alces,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,N AMERICAN MAMMALS
Human,Homo sapiens, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,HALL OF ASIAN MAMMALS
Orangutan,Pongo pygmaeus, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",CR,TRUE,HALL OF PRIMATES
Northern Elephant Seal,Mirounga angustirostris, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,HALL OF OCEAN LIFE
Harbor Seal,Phoca vitulina, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,HALL OF OCEAN LIFE
Polar Bear,Ursus maritimus, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",VU,TRUE,HALL OF OCEAN LIFE
Northern Sea Lion,Eumetopias jubatus, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",NT,TRUE,HALL OF OCEAN LIFE
Sea Otter,Enhydra lutris, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",EN,TRUE,HALL OF OCEAN LIFE
Walrus,Odobenus rosmarus, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",VU,TRUE,HALL OF OCEAN LIFE
Blue Whale,Balaenoptera musculus,HOOVES,"CETACEANS, aka WHALES and DOLPHINS: 60mya",EN,TRUE,HALL OF OCEAN LIFE
West Indian manatee,Trichechus manatus,EYES TO FRONT OF SKULL,"SIRENIANS, aka DUGONGS and MANATEES",VU,TRUE,HALL OF OCEAN LIFE
Aardvark,Orycteropus afer,PLACENTA,"EDENTATES, aka SLOTHS, ARMADILLOS, and ANTEATERS: 65 mya",LC,TRUE,HALL OF BIODIVERSITY
Siberian (Amur) Tiger,Panthera tigris altaica, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",EN,TRUE,HALL OF BIODIVERSITY
Giant Panda,Ailuropoda melanoleuca, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",VU,TRUE,HALL OF BIODIVERSITY
African Giant Squirrel,Protoxerus, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,HALL OF BIODIVERSITY
Giant Pouched Rat,Cricetomys, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,HALL OF BIODIVERSITY
Western Lowland Gorilla,Gorilla gorilla gorilla, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",CR,TRUE,HALL OF BIODIVERSITY
Elegant needle-clawed galago,Euoticus elegantulus, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,HALL OF BIODIVERSITY
Potto,Perodicticus potto, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,HALL OF PRIMATES
Aye-aye,Daubentonia madagascariensis, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",EN,TRUE,HALL OF BIODIVERSITY
Gray gibbon,Hylobates muelleri, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",EN,TRUE,HALL OF BIODIVERSITY
Diademed Sifaka,Propithecus diadema, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",CR,TRUE,HALL OF BIODIVERSITY
Black and white ruffed lemur,Varecia variegata, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",CR,TRUE,HALL OF BIODIVERSITY
Singing fruit bat,Pteropus vampyrus, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",NT,TRUE,HALL OF BIODIVERSITY
Golden-Capped Fruit Bat,Acerodon jubatus, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",EN,TRUE,HALL OF BIODIVERSITY
Putty-nosed monkey,Cercopithecus nictitans, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,HALL OF BIODIVERSITY
Moustached monkey,Cercopithecus cephus, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,HALL OF BIODIVERSITY
Giant Otter Shrew,Potamogale velox, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,HALL OF BIODIVERSITY
Blue duiker,Philantomba monticola,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,HALL OF BIODIVERSITY
Dugong,Dugong dugon,EYES TO FRONT OF SKULL,"SIRENIANS, aka DUGONGS and MANATEES",VU,TRUE,HALL OF BIODIVERSITY
Leopard,Panthera pardus,HOOVES,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",VU,TRUE,HALL OF ASIAN MAMMALS
Spotted hyenas,Crocuta crocuta, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,HALL OF AFRICAN MAMMALS
Hunting dog,Lycaon pictus, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",EN,TRUE,HALL OF AFRICAN MAMMALS
Black-backed jackals,Canis mesomelas, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,HALL OF AFRICAN MAMMALS
Cheetah,Acinonyx jubatus, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",VU,TRUE,HALL OF AFRICAN MAMMALS
Lion,Panthera leo, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",VU,TRUE,HALL OF AFRICAN MAMMALS
Crested porcupine,Hystrix cristata,,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,HALL OF AFRICAN MAMMALS
Chimpanzee,Pan, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",EN,TRUE,HALL OF ASIAN MAMMALS
Mandrill,Mandrillus sphinx, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",VU,TRUE,HALL OF AFRICAN MAMMALS
Gorilla,Gorilla gorilla gorilla, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",CR,TRUE,HALL OF ASIAN MAMMALS
White-mantled colobus,Colobus, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,HALL OF AFRICAN MAMMALS
Hedgehog,Erinaceinae, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,HALL OF AFRICAN MAMMALS
White rhino,Ceratotherium simum,HOOVES,"PERISSODACTYLS, aka HORSES, RHINOS, and TAPIRS: 60mya",NT,TRUE,HALL OF AFRICAN MAMMALS
Black rhino,Diceros bicornis,HOOVES,"PERISSODACTYLS, aka HORSES, RHINOS, and TAPIRS: 60mya",CR,TRUE,HALL OF AFRICAN MAMMALS
Grevy's zebra,Equus grevyi,HOOVES,"PERISSODACTYLS, aka HORSES, RHINOS, and TAPIRS: 60mya",EN,TRUE,HALL OF AFRICAN MAMMALS
Warthog ,Phacochoerus africanus,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,HALL OF AFRICAN MAMMALS
Bush pig,Potamochoerus larvatus,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,HALL OF AFRICAN MAMMALS
Forest hog,Hylochoerus meinertzhageni,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,HALL OF AFRICAN MAMMALS
Giraffe,Giraffa,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",VU,TRUE,HALL OF AFRICAN MAMMALS
Okapi,Okapia johnstoni,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",EN,TRUE,HALL OF AFRICAN MAMMALS
Blue wildebeest,Connochaetes taurinus,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,HALL OF AFRICAN MAMMALS
Hartebeest,Alcelaphus buselaphus,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,HALL OF AFRICAN MAMMALS
Greater koodoo,Tragelaphus strepsiceros,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,HALL OF AFRICAN MAMMALS
Giant sable,Hippotragus niger variani,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",CR,TRUE,HALL OF AFRICAN MAMMALS
Gemsbok,Oryx gazella,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,HALL OF AFRICAN MAMMALS
Addax antelopes,Addax nasomaculatus,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",CR,TRUE,HALL OF AFRICAN MAMMALS
Scimitar-horned oryx,Oryx dammah,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",EW,TRUE,HALL OF AFRICAN MAMMALS
Addra gazelle,Nanger dama,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",CR,TRUE,HALL OF AFRICAN MAMMALS
Beisa oryx,Oryx beisa,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",NT,TRUE,HALL OF AFRICAN MAMMALS
Mountain nyala,Tragelaphus buxtoni,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",EN,TRUE,HALL OF AFRICAN MAMMALS
African Buffalo,Syncerus caffer,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,HALL OF AFRICAN MAMMALS
Klipspringer,Oreotragus oreotragus,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,HALL OF AFRICAN MAMMALS
Mountain reedbucks,Redunca fulvorufula,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,HALL OF AFRICAN MAMMALS
Sitatunga,Tragelaphus spekii,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,HALL OF AFRICAN MAMMALS
Waterbuck,Kobus ellipsiprymnus,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,HALL OF AFRICAN MAMMALS
Lechwe,Kobus leche,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,HALL OF AFRICAN MAMMALS
Kob,Kobus kob,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,HALL OF AFRICAN MAMMALS
Roan antelope,Hippotragus equinus,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,HALL OF AFRICAN MAMMALS
Bongo,Tragelaphus eurycerus,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",NT,TRUE,HALL OF AFRICAN MAMMALS
Lesser kudu,Tragelaphus imberbis,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",NT,TRUE,HALL OF AFRICAN MAMMALS
Giant Eland,Taurotragus derbianus,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",NT,TRUE,MAMMALS AND THEIR EXTINCT RELATIVES
Impala,Aepyceros melampus,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,HALL OF AFRICAN MAMMALS
Black wildebeest,Connochaetes gnou,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,HALL OF AFRICAN MAMMALS
Blesbok,Damaliscus pygargus phillipsi,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,HALL OF AFRICAN MAMMALS
Springbok,Antidorcas marsupialis,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,HALL OF AFRICAN MAMMALS
Hippopotamus,Hippopotamus amphibius,HOOVES,"CETACEANS, aka WHALES and DOLPHINS: 60mya",VU,TRUE,HALL OF AFRICAN MAMMALS
African Elephants,Loxodonta,HOOVES,"PROBOSCIDEANS, aka ELEPHANTS and MAMMOTHS",VU,TRUE,HALL OF AFRICAN MAMMALS
Hyrax,Hyracoidea,HOOVES,"SIRENIANS, aka DUGONGS and MANATEES",LC,TRUE,HALL OF ASIAN MAMMALS
Tiger,Panthera tigris,HOOVES,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",EN,TRUE,HALL OF ASIAN MAMMALS
Sloth bear,Melursus ursinus,HOOVES,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",VU,TRUE,HALL OF ASIAN MAMMALS
Indian lion,Panthera leo persica,HOOVES,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",EN,TRUE,HALL OF ASIAN MAMMALS
Wild Dog,Lycaon pictus,HOOVES,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",EN,TRUE,HALL OF ASIAN MAMMALS
Leopard,Panthera pardus,HOOVES,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",VU,TRUE,HALL OF ASIAN MAMMALS
Indian smooth otter,Lutrogale perspicillata,HOOVES,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",VU,TRUE,HALL OF ASIAN MAMMALS
Hoolock gibbon,Hoolock, STIRRUP-SHAPED STAPES ,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",EN,TRUE,HALL OF ASIAN MAMMALS
Indian rhinoceros,Rhinoceros unicornis,HOOVES,"PERISSODACTYLS, aka HORSES, RHINOS, and TAPIRS: 60mya",VU,TRUE,HALL OF ASIAN MAMMALS
Sumatran rhinoceros,Dicerorhinus sumatrensis,HOOVES,"PERISSODACTYLS, aka HORSES, RHINOS, and TAPIRS: 60mya",CR,TRUE,HALL OF ASIAN MAMMALS
Indian wild boar,Sus scrofa cristatus,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,HALL OF ASIAN MAMMALS
Water buffalo,Bubalus bubalis,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",EN,TRUE,HALL OF ASIAN MAMMALS
